,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,wp_bnd1,wp_bnd2,wp_bnd3,wp_bnd7,wp_evi,wp_lswi2,wp_ndvi,wp_LST.day,wp_LST.night,LW_IN.wp,LW_IN.si,LW_IN
0,7.33,0.808731148579,19.1791666667,195,0.0,22.3208333333,30.3156,4.95833333333,2012,20.7983424614,935.791629925,-65.7811091209,31.335633209,-97.1167423299,2.60558981876,13.6439022611,0.062325,0.2865625,0.0329625,0.1367625,0.396594200005,0.353988000809,0.641933937356,31.5678990281,17.2045295383,29.1058438535,24.5628598189,29.1058438535
1,6.52,0.75594497241,19.325,196,0.0,21.7708333333,29.6316,3.79166666667,2012,20.573593318,1146.07370193,-72.5001388146,32.4601930221,-104.960331837,3.45929964696,13.4987605475,0.0608,0.2912,0.0322,0.1318,0.407211028632,0.3768321513,0.654545454545,29.57,17.39,29.7607364836,26.0965513695,29.7607364836
2,6.92,0.858993056517,20.2625,197,0.0,21.9083333333,29.3472,4.1375,2012,20.4759307147,1342.52033817,-67.6406085824,34.194315583,-101.834924165,2.11747378045,14.9878228686,0.05945,0.29525,0.031425,0.12825,0.416158453077,0.394189490702,0.664269028616,31.0979076713,17.2356235233,30.299441788,25.9864176449,30.299441788
3,6.35,0.477617112749,16.7916666667,198,0.0,22.4208333333,28.818,6.03333333333,2012,20.5710450892,1539.94032088,-73.4184143985,33.169320576,-106.587734975,4.63614511454,11.3558511197,0.0581,0.2993,0.03065,0.1247,0.425105877522,0.411546830103,0.673992602686,30.8687181185,17.2485251915,28.9788677414,25.1222090275,28.9788677414
4,5.13,0.556820149199,17.0166666667,199,0.0,21.5291666667,23.1732,4.35,2012,16.7574014949,1527.28601176,-69.0706578382,31.1155516277,-100.186209466,3.44894626875,10.9431017214,0.05675,0.30335,0.029875,0.12115,0.434053301967,0.428904169504,0.683716176757,30.6577923133,17.2596633103,30.6536666505,27.8303670853,30.6536666505
5,6.17,0.685254709043,18.5833333333,200,0.0,21.5375,28.8252,3.85,2012,20.5616770665,1338.36156869,-79.9656105208,30.0838733899,-110.049483911,4.11980431977,13.3349890198,0.0554,0.3074,0.0291,0.1176,0.443000726412,0.446261508905,0.693439750827,30.4651302559,17.2690378795,30.1479877598,26.3067610186,30.1479877598
6,5.04,0.624625871317,18.3363636364,201,0.0,21.5227272727,21.8434909091,4.48636363636,2012,18.5079836665,1110.45349077,-69.3407447503,29.7134100241,-99.0541547744,2.64415131301,12.9861939576,0.05405,0.31145,0.028325,0.11405,0.451948150857,0.463618848307,0.703163324898,30.2907319461,17.2766488993,31.1158457768,26.8996027015,31.1158457768
7,7.02,1.21897746508,22.95,202,0.0,21.1875,30.3192,3.1625,2012,18.6399576607,1118.8261219,-61.2545530174,28.2860339988,-89.5405870162,0.636445923366,15.0480196517,0.0527,0.3155,0.02755,0.1105,0.460895575302,0.480976187708,0.712886898968,30.134597384,17.2824963695,31.3123541339,26.4654993058,31.3123541339
8,7.5,1.72910331646,26.3125,203,0.0,22.1666666667,30.3552,2.57916666667,2012,20.2800881511,993.452880358,-49.6367813375,26.7279740755,-76.364755413,-0.978050283143,17.4023766167,0.05135,0.31955,0.026775,0.10695,0.469842999747,0.498333527109,0.722610473039,29.9967265696,17.2865802903,32.7646347352,27.6337366963,32.7646347352
9,8.08,1.67156094332,25.8333333333,204,0.0,22.6666666667,29.5776,3.60833333333,2012,20.2546274453,1251.76369877,-44.0871111439,30.0415975412,-74.1287086852,-1.55352746116,18.3669166564,0.05,0.3236,0.026,0.1034,0.478790424192,0.515690866511,0.732334047109,29.73,16.97,33.0834016852,28.3273695087,33.0834016852
